country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Argentina,ARG,2021-01-22,279602.0,254456.0,25146.0,13878.0,11263.0,0.62,0.56,0.06,249.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-23,288064.0,258876.0,29188.0,8462.0,11124.0,0.64,0.57,0.06,246.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-24,292023.0,260036.0,31987.0,3959.0,10342.0,0.65,0.58,0.07,229.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-25,292386.0,260122.0,32264.0,363.0,9046.0,0.65,0.58,0.07,200.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-26,305880.0,266969.0,38911.0,13494.0,9626.0,0.68,0.59,0.09,213.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-27,318033.0,272323.0,45710.0,12153.0,10014.0,0.7,0.6,0.1,222.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2021-01-28,327999.0,276548.0,51451.0,9966.0,8896.0,0.73,0.61,0.11,197.0,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,2021-01-18,61012.0,60708.0,304.0,,,0.68,0.67,0.0,,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-19,71508.0,70474.0,1034.0,10496.0,10496.0,0.79,0.78,0.01,1165.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-20,88895.0,86888.0,2007.0,17387.0,13942.0,0.99,0.96,0.02,1548.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-21,108252.0,105038.0,3214.0,19357.0,15747.0,1.2,1.17,0.04,1748.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-22,124756.0,121216.0,3540.0,16504.0,15936.0,1.39,1.35,0.04,1769.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-23,136348.0,132105.0,4243.0,11592.0,15067.0,1.51,1.47,0.05,1673.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-24,139538.0,135249.0,4289.0,3190.0,13088.0,1.55,1.5,0.05,1453.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-25,141350.0,137044.0,4306.0,1812.0,11477.0,1.57,1.52,0.05,1274.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-26,150933.0,146587.0,4346.0,9583.0,11346.0,1.68,1.63,0.05,1260.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-27,158985.0,153859.0,5126.0,8052.0,10013.0,1.77,1.71,0.06,1112.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2021-01-28,169439.0,163806.0,5633.0,10454.0,8741.0,1.88,1.82,0.06,971.0,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Bahrain,BHR,2020-12-23,38965.0,38965.0,,,,2.29,2.29,,,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-24,50071.0,50071.0,,11106.0,11106.0,2.94,2.94,,6527.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-25,50543.0,50543.0,,472.0,5789.0,2.97,2.97,,3402.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-26,51556.0,51556.0,,1013.0,4197.0,3.03,3.03,,2467.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-27,53614.0,53614.0,,2058.0,3662.0,3.15,3.15,,2152.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-28,55014.0,55014.0,,1400.0,3210.0,3.23,3.23,,1886.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-29,56041.0,56041.0,,1027.0,2846.0,3.29,3.29,,1673.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-30,57317.0,57317.0,,1276.0,2622.0,3.37,3.37,,1541.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2020-12-31,58643.0,58643.0,,1326.0,1225.0,3.45,3.45,,720.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-01,59351.0,59351.0,,708.0,1258.0,3.49,3.49,,739.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-02,60097.0,60097.0,,746.0,1220.0,3.53,3.53,,717.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-03,60689.0,60689.0,,592.0,1011.0,3.57,3.57,,594.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-04,61612.0,61612.0,,923.0,943.0,3.62,3.62,,554.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-05,63893.0,63893.0,,2281.0,1122.0,3.75,3.75,,659.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-06,68472.0,68472.0,,4579.0,1594.0,4.02,4.02,,937.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-07,72239.0,72239.0,,3767.0,1942.0,4.25,4.25,,1141.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-08,78291.0,78291.0,,6052.0,2706.0,4.6,4.6,,1590.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-09,84157.0,84157.0,,5866.0,3437.0,4.95,4.95,,2020.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-10,89250.0,89250.0,,5093.0,4080.0,5.25,5.25,,2398.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-11,92598.0,92598.0,,3348.0,4427.0,5.44,5.44,,2602.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-12,97776.0,97776.0,,5178.0,4840.0,5.75,5.75,,2844.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-13,101363.0,101363.0,,3587.0,4699.0,5.96,5.96,,2762.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-14,109566.0,109566.0,,8203.0,5332.0,6.44,6.44,,3134.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-15,122819.0,122819.0,,13253.0,6361.0,7.22,7.22,,3738.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-16,137159.0,137159.0,,14340.0,7572.0,8.06,8.06,,4450.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-17,141563.0,141563.0,,4404.0,7473.0,8.32,8.32,,4392.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-18,142831.0,142831.0,,1268.0,7176.0,8.39,8.39,,4217.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-19,143596.0,143596.0,,765.0,6546.0,8.44,8.44,,3847.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Bahrain,BHR,2021-01-20,144130.0,144130.0,,534.0,6110.0,8.47,8.47,,3591.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1351989676593328129
Belgium,BEL,2020-12-28,298.0,298.0,,,,0.0,0.0,,,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2020-12-29,299.0,299.0,,1.0,1.0,0.0,0.0,,0.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2020-12-30,778.0,778.0,,479.0,240.0,0.01,0.01,,21.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2020-12-31,787.0,787.0,,9.0,163.0,0.01,0.01,,14.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-01,,,,,122.0,,,,11.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-02,,,,,98.0,,,,8.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-03,,,,,82.0,,,,7.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-04,788.0,788.0,,,70.0,0.01,0.01,,6.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-05,2287.0,2287.0,,1499.0,284.0,0.02,0.02,,25.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-06,6061.0,6061.0,,3774.0,755.0,0.05,0.05,,65.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-07,14089.0,14089.0,,8028.0,1900.0,0.12,0.12,,164.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-08,23167.0,23167.0,,9078.0,3197.0,0.2,0.2,,276.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-09,26343.0,26343.0,,3176.0,3651.0,0.23,0.23,,315.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-10,26736.0,26736.0,,393.0,3707.0,0.23,0.23,,320.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-11,32161.0,32161.0,,5425.0,4482.0,0.28,0.28,,387.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-12,47356.0,47356.0,,15195.0,6438.0,0.41,0.41,,555.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-13,67416.0,67416.0,,20060.0,8765.0,0.58,0.58,,756.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-14,88467.0,88467.0,,21051.0,10625.0,0.76,0.76,,917.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-15,110211.0,110211.0,,21744.0,12435.0,0.95,0.95,,1073.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-16,115063.0,115063.0,,4852.0,12674.0,0.99,0.99,,1094.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-17,117907.0,117907.0,,2844.0,13024.0,1.02,1.02,,1124.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-18,127789.0,127680.0,109.0,9882.0,13661.0,1.1,1.1,0.0,1179.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-19,145120.0,144830.0,290.0,17331.0,13966.0,1.25,1.25,0.0,1205.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-20,163977.0,163264.0,713.0,18857.0,13794.0,1.41,1.41,0.01,1190.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-21,190568.0,189855.0,713.0,26591.0,14586.0,1.64,1.64,0.01,1259.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-22,216058.0,215314.0,744.0,25490.0,15121.0,1.86,1.86,0.01,1305.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-23,222997.0,222246.0,751.0,6939.0,15419.0,1.92,1.92,0.01,1330.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-24,224687.0,223936.0,751.0,1690.0,15254.0,1.94,1.93,0.01,1316.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-25,233225.0,232474.0,751.0,8538.0,15062.0,2.01,2.01,0.01,1300.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-26,241101.0,239159.0,1942.0,7876.0,13712.0,2.08,2.06,0.02,1183.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,2021-01-27,246870.0,243412.0,3458.0,5769.0,11842.0,2.13,2.1,0.03,1022.0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Bermuda,BMU,2021-01-10,0.0,,,,,0.0,,,,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-11,,,,,278.0,,,,4464.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-12,,,,,278.0,,,,4464.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-13,,,,,278.0,,,,4464.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-14,,,,,278.0,,,,4464.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-15,,,,,278.0,,,,4464.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-16,1665.0,,,,278.0,2.67,,,4464.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-17,,,,,264.0,,,,4239.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-18,,,,,250.0,,,,4015.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-19,,,,,236.0,,,,3790.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-20,,,,,222.0,,,,3565.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-21,,,,,209.0,,,,3356.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-22,,,,,195.0,,,,3131.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Bermuda,BMU,2021-01-23,2932.0,,,,181.0,4.71,,,2907.0,Pfizer/BioNTech,Ministry of Health,https://www.gov.bm/articles/covid-19-update-minister-health-remarks-26-january-2021
Brazil,BRA,2021-01-16,0.0,,,,,0.0,,,,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-17,112.0,,,112.0,112.0,0.0,,,1.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-18,1109.0,,,997.0,554.0,0.0,,,3.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-19,11470.0,,,10361.0,3823.0,0.01,,,18.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-20,28543.0,,,17073.0,7136.0,0.01,,,34.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-21,136519.0,,,107976.0,27304.0,0.06,,,128.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-22,245877.0,,,109358.0,40980.0,0.12,,,193.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-23,537774.0,,,291897.0,76825.0,0.25,,,361.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Brazil,BRA,2021-01-24,604722.0,,,66948.0,86373.0,0.28,,,406.0,Sinovac,Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
